aletia_id,name,final_specialty
ALT-004087,"Spine Planning (2.0), Elements Spine Planning, Elements Planning Spine",Neurology
ALT-006382,TMINI Miniature Robotic System,Neurology
ALT-006650,Auto Segmentation,Oncology
ALT-001039,MVision AI Segmentation,Oncology
ALT-006452,AISAP Cardio V1.0,Oncology
ALT-006303,Allix5,Oncology
ALT-007142,Arterys Oncology DL,Oncology
ALT-006693,Brainomix 360 e-ASPECTS,Oncology
ALT-004272,CINA-ASPECTS,Oncology
ALT-007195,DUNE MEDICAL DEVICES MARGINPROBE SYSTEM,Oncology
ALT-006938,EchoGo Pro,Oncology
ALT-006417,EchoSolv AS,Oncology
ALT-007020,"Ethos Treatment Management, Ethos Treatment Planning, Ethos Radiotherapy System, Halcyon",Oncology
ALT-004421,Fetal EchoScan,Oncology
ALT-004584,Fetal EchoScan (v1.1),Oncology
ALT-004527,GENESEEQPRIME NGS Tumor Profiling Assay (FFPE) (GS6005),Oncology
ALT-006933,Imagio Breast Imaging System,Oncology
ALT-003907,Koios DS,Oncology
ALT-007066,Koios DS for Breast,Oncology
ALT-007205,LUMA CERVICAL IMAGING SYSTEM,Oncology
ALT-006919,"Optellum Virtual Nodule Clinic, Optellum software, Optellum platform",Oncology
ALT-001178,QuantX,Oncology
ALT-006984,Rapid ASPECTS,Oncology
ALT-006532,Rapid ASPECTS (v3),Oncology
ALT-001086,"RT Elements  (4.5); (Elements) Multiple Brain Mets SRS; (Elements) Cranial SRS; (Elements) Spine SRS; (Elements) Cranial SRS w/ Cones; (Elements) RT Planning Platform; (Elements) Dose Review; (Elements) Retreatment Review; Elements Segmentation [Cranial , Basal Ganglia, Head & Neck, Pelvic, Spine, Thoracic & Spine, Extracranial] RT; Elements AI Tumor Segmentation RT; Elements SmartBrush [Angio, Spine] RT; Elements Object Management RT",Oncology
ALT-006359,Sonio Suspect,Oncology
ALT-006379,SpotLight/SpotLight Duo with Low Dose Lung Cancer Screening Option,Oncology
ALT-004542,StrokeSENS ASPECTS Software Application,Oncology
ALT-006653,xT CDx,Oncology
ALT-006180,IOL-MASTER 700,Ophthalmology
ALT-006156,Macusense Assessment Software,Ophthalmology
ALT-006182,MONA algorithm,Ophthalmology
ALT-006183,Retinal multi-diseases diagnosed by DL algorithm,Ophthalmology
ALT-006720,AEYE-DS,Ophthalmology
ALT-003577,CLARUS,Ophthalmology
ALT-004515,CLARUS (700),Ophthalmology
ALT-006973,EyeArt,Ophthalmology
ALT-006893,IDx-DR,Ophthalmology
ALT-007133,IDx-DR,Ophthalmology
ALT-007183,IRIS INTELLIGENT RETINAL IMAGING SYSTEM,Ophthalmology
ALT-006485,Notal Vision Home Optical Coherence Tomography (OCT) System,Ophthalmology
ALT-007107,"NvisionVLE Imaging System, NvisionVLE Optical Probe, NvisionVLE Inflation System",Ophthalmology
ALT-001117,Ophthalmic image analysis software,Ophthalmology
ALT-001118,Ophthalmic image analysis software,Ophthalmology
ALT-001143,Ophthalmology PACS software,Ophthalmology
ALT-006895,"OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System",Ophthalmology
ALT-006925,"OTIS 2.1 Optical Coherence Tomography System, THiA Optical Coherence Tomography System",Ophthalmology
ALT-001114,Retinal image analysis software,Ophthalmology
ALT-001115,Retinal image analysis software,Ophthalmology
ALT-001116,Retinal image analysis software,Ophthalmology
ALT-004308,Automatic Registration,Orthopaedics
ALT-007120,NuVasive Pulse System,Orthopaedics
ALT-001050,AI-Rad Companion (Musculoskeletal),Orthopaedics
ALT-007006,Al-Rad Companion (Musculoskeletal),Orthopaedics
ALT-004519,ARVIS® Shoulder,Orthopaedics
ALT-001153,Osteoporosis/fracture risk assessment interpretive software,Orthopaedics
ALT-004626,SpineAR SNAP (SyncAR Spine),Orthopaedics
ALT-006550,United Orthopedic Knee Patient Specific Instrumentation,Orthopaedics
ALT-004379,xvision Spine System,Orthopaedics
ALT-006654,ENT EM,Otolaryngology
ALT-006085,Canvas Dx,Paediatrics
ALT-001185,Cognoa ASD Diagnosis Aid,Paediatrics
ALT-006775,EarliPoint System,Paediatrics
ALT-004295,Overjet Caries Assist-Pediatric,Paediatrics
ALT-006321,Second Opinion® Pediatric,Paediatrics
ALT-006177,EBUS-Elastography,Pathology
ALT-006155,ROSE-AI diagnostic system,Pathology
ALT-006173,"Standard, high-definition colonoscopy with the use of CADe assistance",Pathology
ALT-001189,ArteraAI Prostate,Pathology
ALT-004361,Galen Second Read,Pathology
ALT-001005,Genius Digital Diagnostics System with the Genius Cervical AI algorithm,Pathology
ALT-006208,INFINITT DPS,Pathology
ALT-001186,Paige Prostate,Pathology
ALT-007212,PAPNET Testing System,Pathology
ALT-001158,Pathology information system application software,Pathology
ALT-007202,PATHWORK DIAGNOSTICS TISSUE OF ORIGIN TEST,Pathology
ALT-007200,PATHWORK TISSUE OF ORIGIN TEST KIT-FFPE (ORIGIN TEST KIT-FFPE,Pathology
ALT-007196,TISSUE OF ORIGIN TEST KIT FFPE,Pathology
ALT-007136,Tissue of Origin Test Kit-FFPE,Pathology
ALT-001152,Electrophysiological marker psychiatric analysis interpretive software,Psychiatry
ALT-001167,"Mental health/function therapeutic software, screen-viewed",Psychiatry
ALT-001168,"Mental health/function therapeutic software, screen-viewed",Psychiatry
ALT-001169,"Mental health/function therapeutic software, virtual reality",Psychiatry
ALT-006065,Sleep Apnea Notification Feature (SANF),Pulmonology
ALT-006176,Ultrasonic Jaw Tracking Device,Pulmonology
ALT-004093,FaceHeart Vitals Software Development Kit (FH vitals SDK),Pulmonology
ALT-006538,Fibresolve,Pulmonology
ALT-004625,Fibresolve (with PCCP),Pulmonology
ALT-007077,FluChip-8G Influenza A+B Assay,Pulmonology
ALT-006909,Gili Pro BioSensor (also known as Gili BioSensor System),Pulmonology
ALT-006458,Huxley SANSA Home Sleep Apnea Test (1000-00),Pulmonology
ALT-004394,Informed Vital Core Application (IVC App),Pulmonology
ALT-006390,IQ-UIP,Pulmonology
ALT-007115,MATRx plus,Pulmonology
ALT-006913,Oxehealth Vital Signs,Pulmonology
ALT-006074,ScreenDx,Pulmonology
ALT-006527,Sleep Apnea Feature,Pulmonology
ALT-006885,Vital Signs,Pulmonology
ALT-006566,syngo.via MI Workflows; Scenium; syngo MBF,Radiology
ALT-006148,Artificial Intelligence (AI),Radiology
ALT-006872,Auto Lung Nodule Detection,Radiology
ALT-006692,AVIEW Lung Nodule CAD,Radiology
ALT-006838,BU-CAD,Radiology
ALT-001028,Genius AI Detection,Radiology
ALT-001056,Genius AI Detection 2.0 with CC-MLO Correlation,Radiology
ALT-004180,Lunit INSIGHT DBT,Radiology
ALT-006849,Lunit INSIGHT MMG,Radiology
ALT-006425,MAMMOMAT B.brilliant with Tomosynthesis Option,Radiology
ALT-003635,MammoScreen,Radiology
ALT-006454,MammoScreen® (3),Radiology
ALT-006103,MammoScreen® (4),Radiology
ALT-007099,PowerLook Tomo Detection V2 Software,Radiology
ALT-001020,ProFound AI Software V2.1,Radiology
ALT-006070,ProFound Detection (V4.0),Radiology
ALT-001077,Prostate MR AI (VA10A),Radiology
ALT-006762,ProstatID,Radiology
ALT-006345,QP-Prostate® CAD,Radiology
ALT-006788,Saige-Dx,Radiology
ALT-006391,Saige-Dx (3.1.0),Radiology
ALT-006432,"See-Mode Augmented Reporting Tool, Thyroid (SMART-T)",Radiology
ALT-003455,Transpara,Radiology
ALT-006402,Transpara (2.1.0),Radiology
ALT-006407,1CMR Pro,Radiology
ALT-004490,3DXR,Radiology
ALT-004548,3mensio Workstation,Radiology
ALT-006565,6440 MyLabX90,Radiology
ALT-006317,6450 Ultrasound System (MyLabE80); 6450 Ultrasound System (MyLabE85),Radiology
ALT-004477,6600 Ultrasound System (MyLabA50); 6600 Ultrasound System (MyLabA70),Radiology
ALT-004665,7600 Ultrasound System (MyLabC25); 7600 Ultrasound System (MyLabC30),Radiology
ALT-006950,A View LCS,Radiology
ALT-004643,a2z-Unified-Triage,Radiology
ALT-007058,aBSI,Radiology
ALT-007108,Accipiolx,Radiology
ALT-006686,AccuContour,Radiology
ALT-007014,AccuContour,Radiology
ALT-006308,Accuro 3S,Radiology
ALT-006786,"Achieva, Ingenia, Ingenia CX, Ingenia Elition and Ingenia Ambition MR Systems",Radiology
ALT-006056,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Radiology
ALT-006212,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Radiology
ALT-006222,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Radiology
ALT-006579,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System",Radiology
ALT-006455,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System",Radiology
ALT-006403,ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System,Radiology
ALT-004337,ADAS 3D,Radiology
ALT-007024,ADAS 3D,Radiology
ALT-004230,Adravision Perio,Radiology
ALT-006853,Advanced Algorithms for Treatment Management Applications (AATMA),Radiology
ALT-001031,AI Metrics,Radiology
ALT-001064,AI Platform (AIP001),Radiology
ALT-001072,AI Platform 2.0 (AIP002),Radiology
ALT-001019,AI Rad Companion (Engine),Radiology
ALT-001092,AI-CVD,Radiology
ALT-001017,AI-Rad Companion (Cardiovascular),Cardiology
ALT-001049,AI-Rad Companion (Cardiovascular),Cardiology
ALT-001018,AI-Rad Companion (Pulmonary),Radiology
ALT-001042,AI-Rad Companion (Pulmonary),Radiology
ALT-001023,AI-Rad Companion Brain MR,Radiology
ALT-001041,AI-Rad Companion Brain MR,Radiology
ALT-001062,AI-Rad Companion Brain MR,Radiology
ALT-001024,AI-Rad Companion Engine,Radiology
ALT-001025,AI-Rad Companion Organs RT,Radiology
ALT-001066,AI-Rad Companion Organs RT,Radiology
ALT-001079,AI-Rad Companion Organs RT,Radiology
ALT-001022,AI-Rad Companion Prostate MR,Radiology
ALT-006235,AIAS Cephalon,Radiology
ALT-006833,AIBOLIT 3D+,Radiology
ALT-001075,aiCockpit AI Viewer,Radiology
ALT-007000,AIMI-Triage CXR PTX,Radiology
ALT-006061,AiMIFY (1.x),Radiology
ALT-006224,AiORTA - Plan,Radiology
ALT-006195,AIR Recon DL,Radiology
ALT-006776,AIR Recon DL,Radiology
ALT-006615,AIRAscore,Radiology
ALT-006841,Al-Rad Companion (Pulmonary),Radiology
ALT-007197,ALPHAPOINT IMAGING SOFTWARE,Radiology
ALT-006232,"Alphenix, INFX-8000V/B, INFX-8000V/S, V9.6 with aEvolve Imaging",Radiology
ALT-006200,Alzevita,Radiology
ALT-007092,AmCAD-UO,Radiology
ALT-006869,AmCAD-UT,Radiology
ALT-003223,AmCAD-UV,Radiology
ALT-007100,AMRA Profiler,Radiology
ALT-006623,ANDI,Radiology
ALT-006249,AngioWaveNet,Radiology
ALT-006325,Annalise Enterprise,Radiology
ALT-006617,Annalise Enterprise CTB Triage-OH,Radiology
ALT-006676,Annalise Enterprise CXR Triage Trauma,Radiology
ALT-006732,Aorta-CAD,Radiology
ALT-006806,"Aplio a550, Aplio a450, and Aplio a, Diagnostic Ultrasound System, Software V6.5",Radiology
ALT-006530,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",Radiology
ALT-006823,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V6.5",Radiology
